region,taxon
O,Sphagnum tenellum
H,Sphagnum tenellum
R,Sphagnum tenellum
Q,Sphagnum tenellum
G,Sphagnum tenellum
G,Sphagnum tenellum
O,Sphagnum tenellum
Q,Sphagnum tenellum
J,Sphagnum tenellum
H,Sphagnum tenellum
G,Sphagnum tenellum
R,Sphagnum tenellum
H,Sphagnum tenellum
G,Sphagnum tenellum
H,Sphagnum tenellum
G,Sphagnum tenellum
H,Sphagnum tenellum
H,Sphagnum tenellum
O,Sphagnum tenellum
H,Sphagnum tenellum
O,Sphagnum tenellum
R,Sphagnum tenellum
Q,Sphagnum tenellum
H,Sphagnum tenellum
R,Sphagnum tenellum
R,Sphagnum tenellum
R,Sphagnum tenellum
O,Sphagnum tenellum
H,Sphagnum tenellum
J,Sphagnum tenellum
G,Sphagnum tenellum
G,Sphagnum tenellum
Q,Sphagnum tenellum
Q,Sphagnum tenellum
R,Sphagnum tenellum
H,Sphagnum tenellum
H,Sphagnum tenellum
H,Sphagnum tenellum
Q,Sphagnum tenellum
O,Sphagnum tenellum
G,Sphagnum tenellum
Q,Sphagnum tenellum
R,Sphagnum tenellum
Q,Sphagnum tenellum
H,Sphagnum tenellum
H,Sphagnum papillosum
H,Sphagnum papillosum
J,Sphagnum papillosum
O,Sphagnum papillosum
H,Sphagnum papillosum
Q,Sphagnum papillosum
G,Sphagnum papillosum
H,Sphagnum papillosum
J,Sphagnum papillosum
G,Sphagnum papillosum
G,Sphagnum papillosum
R,Sphagnum papillosum
G,Sphagnum papillosum
O,Sphagnum papillosum
G,Sphagnum papillosum
G,Sphagnum papillosum
H,Sphagnum papillosum
R,Sphagnum papillosum
G,Sphagnum papillosum
G,Sphagnum papillosum
G,Sphagnum papillosum
H,Sphagnum papillosum
G,Sphagnum papillosum
R,Sphagnum papillosum
O,Sphagnum papillosum
Q,Sphagnum papillosum
R,Sphagnum papillosum
G,Sphagnum papillosum
G,Sphagnum papillosum
O,Sphagnum papillosum
Q,Sphagnum papillosum
R,Sphagnum papillosum
J,Sphagnum papillosum
J,Sphagnum papillosum
G,Sphagnum papillosum
O,Sphagnum papillosum
R,Sphagnum papillosum
J,Sphagnum papillosum
H,Sphagnum papillosum
R,Sphagnum papillosum
R,Sphagnum papillosum
R,Sphagnum papillosum
J,Sphagnum papillosum
Q,Sphagnum papillosum
J,Sphagnum papillosum
Q,Sphagnum papillosum
J,Sphagnum papillosum
G,Sphagnum papillosum
H,Sphagnum papillosum
H,Sphagnum papillosum
H,Sphagnum papillosum
R,Sphagnum papillosum
R,Sphagnum papillosum
H,Sphagnum papillosum
R,Sphagnum papillosum
H,Sphagnum papillosum
O,Sphagnum papillosum
R,Sphagnum papillosum
O,Sphagnum papillosum
H,Sphagnum papillosum
J,Sphagnum papillosum
G,Sphagnum papillosum
H,Sphagnum papillosum
Q,Sphagnum papillosum
G,Sphagnum papillosum
G,Sphagnum papillosum
J,Sphagnum papillosum
H,Sphagnum papillosum
O,Sphagnum papillosum
J,Sphagnum papillosum
H,Sphagnum papillosum
G,Sphagnum papillosum
G,Sphagnum papillosum
Q,Sphagnum papillosum
O,Sphagnum papillosum
Q,Sphagnum papillosum
O,Sphagnum papillosum
R,Sphagnum papillosum
H,Sphagnum papillosum
H,Sphagnum papillosum
G,Sphagnum papillosum
R,Sphagnum papillosum
O,Sphagnum papillosum
G,Sphagnum papillosum
Q,Sphagnum papillosum
Q,Sphagnum papillosum
Q,Sphagnum papillosum
Q,Sphagnum papillosum
R,Sphagnum papillosum
H,Sphagnum papillosum
H,Sphagnum papillosum
Q,Sphagnum papillosum
R,Sphagnum papillosum
Q,Sphagnum papillosum
G,Sphagnum papillosum
H,Sphagnum papillosum
O,Sphagnum papillosum
H,Sphagnum papillosum
G,Sphagnum papillosum
G,Sphagnum papillosum
G,Sphagnum papillosum
O,Sphagnum papillosum
R,Sphagnum papillosum
J,Sphagnum papillosum
H,Sphagnum papillosum
H,Sphagnum papillosum
R,Sphagnum papillosum
J,Sphagnum papillosum
J,Sphagnum papillosum
H,Sphagnum papillosum
O,Sphagnum papillosum
O,Sphagnum papillosum
O,Sphagnum papillosum
G,Sphagnum papillosum
Q,Sphagnum papillosum
R,Sphagnum papillosum
J,Sphagnum papillosum
H,Sphagnum papillosum
R,Sphagnum papillosum
R,Sphagnum papillosum
G,Sphagnum papillosum
H,Sphagnum papillosum
O,Sphagnum papillosum
G,Sphagnum papillosum
J,Sphagnum papillosum
R,Sphagnum papillosum
J,Sphagnum papillosum
J,Sphagnum papillosum
R,Sphagnum papillosum
R,Sphagnum papillosum
Q,Sphagnum papillosum
O,Sphagnum papillosum
H,Sphagnum papillosum
R,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
J,Sphagnum capillifolium subsp. rubellum
O,Sphagnum capillifolium subsp. rubellum
J,Sphagnum capillifolium subsp. rubellum
G,Sphagnum capillifolium subsp. rubellum
J,Sphagnum capillifolium subsp. rubellum
H,Sphagnum cuspidatum
H,Sphagnum cuspidatum
H,Sphagnum cuspidatum
Q,Sphagnum capillifolium subsp. rubellum
Q,Sphagnum cuspidatum
R,Sphagnum cuspidatum
R,Sphagnum capillifolium subsp. rubellum
J,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
H,Sphagnum capillifolium subsp. rubellum
R,Sphagnum capillifolium subsp. rubellum
G,Sphagnum cuspidatum
J,Sphagnum cuspidatum
H,Sphagnum cuspidatum
Q,Sphagnum cuspidatum
Q,Sphagnum cuspidatum
