id,sex,race,polviews,cappun,degree2,age
1028,2,1,4,1,0,38
1029,1,1,4,1,0,56
1030,2,1,4,1,1,25
1031,2,1,3,1,0,28
1032,2,1,4,1,0,82
1033,1,1,2,1,0,31
1035,1,1,4,1,0,31
1036,1,1,4,1,0,26
1037,1,1,5,1,0,31
1038,1,1,5,1,0,42
1039,2,1,3,1,0,23
1041,1,1,4,2,0,23
1042,2,2,5,2,0,24
1043,1,1,3,2,1,38
1044,1,1,6,2,0,45
1045,1,1,6,1,0,30
1046,2,1,5,1,0,38
1047,1,1,6,1,0,74
1048,2,1,1,1,0,26
1049,1,1,4,1,0,52
1050,2,2,5,1,0,44
1051,2,1,5,2,0,37
1052,1,1,7,1,0,25
1054,2,1,4,8,0,26
1055,2,3,3,1,1,39
1056,2,2,4,1,0,33
1057,1,1,2,1,1,56
1058,2,1,3,8,1,46
